Date,Close
1-2-2017,2.959
2-2-2017,2.902
3-2-2017,2.892
6-2-2017,2.88
7-2-2017,2.855
8-2-2017,2.834
9-2-2017,2.904
10-2-2017,2.905
13-2-2017,3.006
14-2-2017,3.035
15-2-2017,3.167
16-2-2017,3.336
17-2-2017,3.241
21-2-2017,3.5
22-2-2017,3.43
23-2-2017,3.639
24-2-2017,3.732
27-2-2017,3.683
28-2-2017,4.221
1-3-2017,4.305
2-3-2017,4.244
3-3-2017,4.46
6-3-2017,4.234
7-3-2017,4.408
8-3-2017,4.331
9-3-2017,4.438
10-3-2017,4.579
13-3-2017,4.335
14-3-2017,4.122
15-3-2017,4.155
16-3-2017,4.018
17-3-2017,3.951
20-3-2017,3.81
21-3-2017,3.755
22-3-2017,3.864
23-3-2017,3.702
24-3-2017,3.602
27-3-2017,3.722
28-3-2017,3.649
29-3-2017,3.798
30-3-2017,3.673
31-3-2017,3.725
3-4-2017,3.702
4-4-2017,3.633
5-4-2017,3.705
6-4-2017,3.771
7-4-2017,3.699
10-4-2017,3.69
11-4-2017,3.755
12-4-2017,3.721
13-4-2017,3.685
17-4-2017,3.644
18-4-2017,3.519
19-4-2017,3.586
20-4-2017,3.623
21-4-2017,3.598
24-4-2017,3.647
25-4-2017,3.62
26-4-2017,3.633
27-4-2017,3.769
28-4-2017,3.735
1-5-2017,3.759
2-5-2017,3.828
3-5-2017,3.806
4-5-2017,3.985
5-5-2017,4.007
8-5-2017,4.039
9-5-2017,4.086
10-5-2017,4.005
11-5-2017,3.989
12-5-2017,5.19
15-5-2017,5.357
16-5-2017,5.22
17-5-2017,4.775
18-5-2017,5.138
19-5-2017,5.007
22-5-2017,5.251
23-5-2017,5.348
24-5-2017,5.15
25-5-2017,5.199
26-5-2017,5.224
30-5-2017,5.349
31-5-2017,5.5
1-6-2017,5.496
2-6-2017,5.696
5-6-2017,5.569
6-6-2017,5.584
7-6-2017,5.438
8-6-2017,5.544
9-6-2017,5.136
12-6-2017,5.005
13-6-2017,5.015
14-6-2017,4.924
15-6-2017,4.865
16-6-2017,4.993
19-6-2017,5.207
20-6-2017,5.089
21-6-2017,5.235
22-6-2017,5.185
23-6-2017,5.421
26-6-2017,5.308
27-6-2017,5.051
28-6-2017,5.254
29-6-2017,5.084
30-6-2017,5.011
3-7-2017,4.972
5-7-2017,4.988
6-7-2017,4.864
7-7-2017,4.99
10-7-2017,5.015
11-7-2017,5.117
12-7-2017,5.151
13-7-2017,5.08
14-7-2017,5.101
17-7-2017,5.039
18-7-2017,4.989
19-7-2017,5.469
20-7-2017,5.452
21-7-2017,5.233
24-7-2017,5.411
25-7-2017,5.568
26-7-2017,5.497
27-7-2017,5.31
28-7-2017,5.341
31-7-2017,5.331
1-8-2017,5.342
2-8-2017,5.301
3-8-2017,5.448
4-8-2017,5.339
7-8-2017,5.551
8-8-2017,5.452
9-8-2017,5.399
10-8-2017,5.006
11-8-2017,5.445
14-8-2017,5.364
15-8-2017,5.102
16-8-2017,5.057
17-8-2017,4.837
18-8-2017,4.951
21-8-2017,5.002
22-8-2017,5.028
23-8-2017,4.999
24-8-2017,5.1
25-8-2017,5.104
28-8-2017,5.14
29-8-2017,5.175
30-8-2017,5.3
31-8-2017,5.297
1-9-2017,5.369
5-9-2017,5.351
6-9-2017,5.485
7-9-2017,5.708
8-9-2017,5.623
11-9-2017,6.057
12-9-2017,6.168
13-9-2017,6.012
14-9-2017,5.97
15-9-2017,5.988
18-9-2017,6.009
19-9-2017,6.172
20-9-2017,5.981
21-9-2017,5.954
22-9-2017,5.98
25-9-2017,5.636
26-9-2017,5.601
27-9-2017,5.779
28-9-2017,5.832
29-9-2017,6.151
2-10-2017,5.956
3-10-2017,6.053
4-10-2017,6.014
5-10-2017,6.096
6-10-2017,6.428
9-10-2017,6.418
10-10-2017,6.412
11-10-2017,6.486
12-10-2017,6.531
13-10-2017,6.651
16-10-2017,6.453
17-10-2017,6.389
18-10-2017,6.407
19-10-2017,6.324
20-10-2017,6.362
23-10-2017,6.346
24-10-2017,6.331
25-10-2017,6.257
26-10-2017,6.268
27-10-2017,6.397
30-10-2017,6.42
31-10-2017,6.592
1-11-2017,6.507
2-11-2017,6.406
3-11-2017,6.462
6-11-2017,6.538
7-11-2017,6.466
8-11-2017,6.165
9-11-2017,5.928
10-11-2017,5.0995
13-11-2017,4.8405
14-11-2017,4.705
15-11-2017,4.824
16-11-2017,4.89
17-11-2017,5.001
20-11-2017,5.04
21-11-2017,5.192
22-11-2017,5.112
24-11-2017,5.119
27-11-2017,4.989
28-11-2017,5.014
29-11-2017,4.841
30-11-2017,4.914
1-12-2017,4.8
4-12-2017,4.525
5-12-2017,4.507
6-12-2017,4.418
7-12-2017,4.534
8-12-2017,4.525
11-12-2017,4.83
12-12-2017,4.686
13-12-2017,4.9
14-12-2017,4.897
15-12-2017,4.925
18-12-2017,4.98
19-12-2017,4.894
20-12-2017,4.959
21-12-2017,4.616
22-12-2017,4.622
26-12-2017,4.648
27-12-2017,4.701
28-12-2017,4.642
29-12-2017,4.573
2-1-2018,4.641
3-1-2018,4.791
4-1-2018,4.765
5-1-2018,4.835
8-1-2018,4.787
9-1-2018,4.742
10-1-2018,4.79
11-1-2018,4.896
12-1-2018,4.913
16-1-2018,4.833
17-1-2018,4.948
18-1-2018,4.836
19-1-2018,4.736
22-1-2018,4.865
23-1-2018,4.94
24-1-2018,4.88
25-1-2018,4.948
26-1-2018,5.124
29-1-2018,5.055
30-1-2018,4.869
31-1-2018,4.848
1-2-2018,4.583
2-2-2018,4.676
5-2-2018,4.51
6-2-2018,4.547
7-2-2018,4.42
8-2-2018,4.334
9-2-2018,4.28
12-2-2018,4.388
13-2-2018,4.522
14-2-2018,4.721
15-2-2018,4.831
16-2-2018,4.841
20-2-2018,5.02
21-2-2018,4.981
22-2-2018,4.84
23-2-2018,5.994
26-2-2018,5.737
27-2-2018,5.556
28-2-2018,5.626
1-3-2018,5.432
2-3-2018,5.691
5-3-2018,5.824
6-3-2018,5.799
7-3-2018,5.869
8-3-2018,5.792
9-3-2018,5.886
12-3-2018,5.953
13-3-2018,5.795
14-3-2018,5.857
15-3-2018,5.839
16-3-2018,5.791
19-3-2018,5.56
20-3-2018,5.7
21-3-2018,5.651
22-3-2018,5.452
23-3-2018,5.334
26-3-2018,5.522
27-3-2018,5.224
28-3-2018,5.096
29-3-2018,4.962
2-4-2018,4.801
3-4-2018,4.746
4-4-2018,4.79
5-4-2018,4.899
6-4-2018,4.768
9-4-2018,4.794
10-4-2018,4.974
11-4-2018,5.086
12-4-2018,5.209
13-4-2018,5.229
16-4-2018,5.256
17-4-2018,5.421
18-4-2018,5.405
19-4-2018,5.398
20-4-2018,5.413
23-4-2018,5.372
24-4-2018,5.25
25-4-2018,5.101
26-4-2018,5.211
27-4-2018,5.174
30-4-2018,5.117
1-5-2018,4.945
2-5-2018,4.934
3-5-2018,4.944
4-5-2018,4.943
7-5-2018,5.089
8-5-2018,5.094
9-5-2018,5.152
10-5-2018,5.273
11-5-2018,7.561
14-5-2018,7.492
15-5-2018,8.022
16-5-2018,8.075
17-5-2018,8.044
18-5-2018,8.563
21-5-2018,8.296
22-5-2018,8.223
23-5-2018,8.296
24-5-2018,8.299
25-5-2018,8.256
29-5-2018,8.273
30-5-2018,8.454
31-5-2018,8.553
1-6-2018,8.664
4-6-2018,8.32
5-6-2018,8.793
6-6-2018,8.627
7-6-2018,8.655
8-6-2018,8.862
11-6-2018,8.882
12-6-2018,9.077
13-6-2018,9.006
14-6-2018,9.053
15-6-2018,9.012
18-6-2018,9.292
19-6-2018,9.149
20-6-2018,9.336
21-6-2018,9.154
22-6-2018,9.206
25-6-2018,8.934
26-6-2018,9.165
27-6-2018,8.958
28-6-2018,9.221
29-6-2018,9.38
2-7-2018,9.42
3-7-2018,9.1
5-7-2018,9.277
6-7-2018,9.4
9-7-2018,9.455
10-7-2018,9.269
11-7-2018,9.164
12-7-2018,9.483
13-7-2018,9.414
16-7-2018,9.333
17-7-2018,9.49
18-7-2018,9.518
19-7-2018,9.47
20-7-2018,9.73
23-7-2018,9.488
24-7-2018,9.025
25-7-2018,9.314
26-7-2018,9.279
27-7-2018,8.95
30-7-2018,8.596
31-7-2018,8.432
1-8-2018,8.684
2-8-2018,8.849
3-8-2018,8.687
6-8-2018,8.914
7-8-2018,9.013
8-8-2018,9.137
9-8-2018,9.329
10-8-2018,12.793
13-8-2018,12.569
14-8-2018,13.3
15-8-2018,12.669
16-8-2018,12.724
17-8-2018,12.561
20-8-2018,12.536
21-8-2018,12.903
22-8-2018,12.968
23-8-2018,13.67
24-8-2018,13.835
27-8-2018,13.972
28-8-2018,14.009
29-8-2018,14.166
30-8-2018,14.078
31-8-2018,14.188
4-9-2018,14.669
5-9-2018,14.189
6-9-2018,13.925
7-9-2018,14.197
10-9-2018,14.244
11-9-2018,14.772
12-9-2018,14.584
13-9-2018,14.562
14-9-2018,14.609
17-9-2018,14.265
18-9-2018,14.473
19-9-2018,14.485
20-9-2018,14.323
21-9-2018,14.186
24-9-2018,13.934
25-9-2018,15.468
26-9-2018,15.575
27-9-2018,15.492
28-9-2018,15.091
1-10-2018,14.352
2-10-2018,13.337
3-10-2018,13.885
4-10-2018,13.623
5-10-2018,13.34
8-10-2018,13.19
9-10-2018,12.892
10-10-2018,11.865
11-10-2018,11.773
12-10-2018,12.306
15-10-2018,12.387
16-10-2018,12.989
17-10-2018,12.828
18-10-2018,12.472
19-10-2018,12.13
22-10-2018,12.44
23-10-2018,12.275
24-10-2018,11.38
25-10-2018,11.624
26-10-2018,11.031
29-10-2018,10.912
30-10-2018,11.528
31-10-2018,12.355
1-11-2018,12.66
2-11-2018,12.795
5-11-2018,12.3
6-11-2018,12.211
7-11-2018,13.188
8-11-2018,12.22
9-11-2018,12.257
12-11-2018,11.093
13-11-2018,11.206
14-11-2018,11.651
15-11-2018,12.334
16-11-2018,12.523
19-11-2018,11.373
20-11-2018,11.327
21-11-2018,11.853
23-11-2018,11.935
26-11-2018,12.94
27-11-2018,12.943
28-11-2018,13.566
29-11-2018,14.081
30-11-2018,14.245
3-12-2018,14.861
4-12-2018,14.011
6-12-2018,14.187
7-12-2018,13.357
10-12-2018,13.475
11-12-2018,13.781
12-12-2018,14.34
13-12-2018,13.9
14-12-2018,13.653
17-12-2018,12.448
18-12-2018,12.382
19-12-2018,12.155
20-12-2018,11.709
21-12-2018,10.655
