Date,Gross Profit (USD)
30/9/2016,42534000
30/12/2016,59151000
31/3/2017,40803000
30/6/2017,57653000
29/9/2017,62016000
29/12/2017,81515000
29/3/2018,62771000
29/6/2018,85732000
28/9/2018,89481000
31/12/2018,125212000
29/3/2019,87336000
28/6/2019,124594000
30/9/2019,124271000
31/12/2019,168677000
31/3/2020,120452000
30/6/2020,97222000
30/9/2020,171287000
31/12/2020,268260000
31/3/2021,169311000
30/6/2021,229158000
